Date,USDKRW Curncy
2000-07-25,1115.5
2000-07-26,1115.3
2000-07-27,1114.5
2000-07-28,1116.75
2000-07-31,1116.75
2000-08-01,1115.85
2000-08-02,1115.7
2000-08-03,1114.85
2000-08-04,1116
2000-08-07,1117.5
2000-08-08,1115.8
2000-08-09,1114.5
2000-08-10,1114.45
2000-08-11,1115.5
2000-08-14,1116.5
2000-08-15,1116.15
2000-08-16,1115.25
2000-08-17,1114.5
2000-08-18,1115.25
2000-08-21,1114.45
2000-08-22,1114.15
2000-08-23,1113.21
2000-08-24,1114.25
2000-08-25,1114.15
2000-08-28,1112
2000-08-29,1110.3
2000-08-30,1108.55
2000-08-31,1107.78
2000-09-01,1105.38
2000-09-04,1104.35
2000-09-05,1105.45
2000-09-06,1107.35
2000-09-07,1110.5
2000-09-08,1109
2000-09-11,1109
2000-09-12,1108.95
2000-09-13,1109
2000-09-14,1115.15
2000-09-15,1119.85
2000-09-18,1131.45
2000-09-19,1126.25
2000-09-20,1126.5
2000-09-21,1126.5
2000-09-22,1134.5
2000-09-25,1124.98
2000-09-26,1119.5
2000-09-27,1113.6
2000-09-28,1115.8
2000-09-29,1115.15
2000-10-02,1118.05
2000-10-03,1117.5
2000-10-04,1119.5
2000-10-05,1118.88
2000-10-06,1117.75
2000-10-09,1117.5
2000-10-10,1119.7
2000-10-11,1122.5
2000-10-12,1122.1
2000-10-13,1130.5
2000-10-16,1127.5
2000-10-17,1134
2000-10-18,1138.75
2000-10-19,1138.38
2000-10-20,1130.5
2000-10-23,1139.5
2000-10-24,1136.5
2000-10-25,1138.5
2000-10-26,1137.5
2000-10-27,1136
2000-10-30,1138
2000-10-31,1137
2000-11-01,1136.5
2000-11-02,1135.3
2000-11-03,1132
2000-11-06,1132.55
2000-11-07,1137.5
2000-11-08,1135
2000-11-09,1133.8
2000-11-10,1135.5
2000-11-13,1139.5
2000-11-14,1137.5
2000-11-15,1137.2
2000-11-16,1139.8
2000-11-17,1143
2000-11-20,1155.5
2000-11-21,1164.68
2000-11-22,1177.5
2000-11-23,1192.58
2000-11-24,1189.5
2000-11-27,1187.5
2000-11-28,1187.5
2000-11-29,1202.5
2000-11-30,1215.5
2000-12-01,1209.5
2000-12-04,1218.5
2000-12-05,1197.83
2000-12-06,1198.5
2000-12-07,1199.5
2000-12-08,1190.5
2000-12-11,1193
2000-12-12,1190.5
2000-12-13,1191.9
2000-12-14,1202.5
2000-12-15,1207.5
2000-12-18,1205
2000-12-19,1208.5
2000-12-20,1217.5
