Date,LUATTRUU Index
2001-08-16,1140.93
2001-08-17,1145.91
2001-08-20,1143.15
2001-08-21,1144.35
2001-08-22,1144.16
2001-08-23,1146.41
2001-08-24,1144.14
2001-08-27,1143.43
2001-08-28,1148.41
2001-08-29,1152.18
2001-08-30,1152.26
2001-08-31,1151.82
2001-09-04,1142.05
2001-09-05,1143.08
2001-09-06,1149.68
2001-09-07,1153.88
2001-09-10,1152.13
2001-09-14,1169.14
2001-09-17,1164.83
2001-09-18,1158.19
2001-09-19,1160.57
2001-09-20,1156.37
2001-09-21,1158.85
2001-09-24,1158.78
2001-09-25,1160.34
2001-09-26,1165.5
2001-09-27,1170.07
2001-09-28,1170.1
2001-10-01,1172.82
2001-10-02,1175.69
2001-10-03,1176.86
2001-10-04,1177.24
2001-10-05,1177.58
2001-10-09,1173.64
2001-10-10,1174.62
2001-10-11,1169.71
2001-10-12,1169.92
2001-10-15,1174.22
2001-10-16,1176.35
2001-10-17,1177.34
2001-10-18,1178.16
2001-10-19,1175.25
2001-10-22,1176.02
2001-10-23,1174.94
2001-10-24,1179.74
2001-10-25,1183.3
2001-10-26,1183.96
2001-10-29,1187.24
2001-10-30,1190.71
2001-10-31,1202.51
2001-11-01,1204.9
2001-11-02,1196.29
2001-11-05,1201.62
2001-11-06,1203.54
2001-11-07,1210.05
2001-11-08,1203.89
2001-11-09,1202.61
2001-11-13,1198.88
2001-11-14,1190.19
2001-11-15,1175.33
2001-11-16,1166.43
2001-11-19,1175.68
2001-11-20,1168.59
