,NAPMNEWO Index
DATE,px_last
2020-08-31,66.2
2020-09-30,60.9
2020-10-31,66.9
2020-11-30,65.7
2020-12-31,67.5
2021-01-31,61.1
2021-02-28,64.8
2021-03-31,68
2021-04-30,64.3
2021-05-31,67
2021-06-30,66
2021-07-31,64.9
2021-08-31,66.7
2021-09-30,66.7
